,0
0,130.0
1,188.0
2,133.0
3,178.0
4,132.0
5,209.0
6,82.0
7,153.0
8,206.0
9,85.0
10,181.0
11,136.0
12,82.0
13,91.0
14,246.0
15,155.0
16,134.0
17,127.0
18,194.0
19,228.0
20,157.0
21,255.0
22,130.0
23,215.0
24,69.0
25,115.0
26,213.0
27,121.0
28,175.0
29,163.0
30,115.0
31,148.0
32,98.0
33,280.0
34,263.0
35,98.0
36,133.0
37,249.0
38,224.0
39,262.0
40,248.0
41,79.0
42,257.0
43,247.0
44,87.0
45,172.0
46,71.0
47,188.0
48,135.0
49,186.0
50,252.0
51,186.0
52,86.0
53,120.0
54,102.0
55,96.0
56,187.0
57,102.0
58,109.0
59,95.0
60,87.0
61,216.0
62,129.0
63,252.0
64,132.0
65,99.0
66,246.0
67,217.0
68,215.0
69,196.0
70,80.0
71,99.0
72,140.0
73,72.0
74,236.0
75,145.0
76,124.0
77,185.0
78,136.0
79,243.0
80,220.0
81,165.0
82,269.0
83,93.0
84,142.0
85,183.0
86,186.0
87,89.0
88,99.0
89,255.0
90,130.0
91,206.0
92,197.0
93,150.0
94,148.0
95,115.0
96,83.0
97,103.0
98,131.0
99,217.0
100,262.0
101,89.0
102,95.0
103,92.0
104,176.0
105,232.0
106,100.0
107,184.0
108,189.0
109,221.0
110,146.0
111,74.0
112,96.0
113,118.0
114,99.0
115,99.0
116,138.0
117,209.0
118,209.0
119,239.0
120,184.0
121,109.0
122,103.0
123,200.0
124,157.0
125,217.0
126,156.0
127,163.0
128,213.0
129,176.0
130,145.0
131,146.0
132,197.0
